"No.","Time","Delta","Source","Destination","Protocol","Length","TCP Segment Len","Time to Live","Info"
"4414","12.356233","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4415","12.356234","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4416","12.356267","0.000033","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4347038 Win=1016064 Len=0"
"4417","12.365578","0.009311","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4418","12.365579","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4419","12.365580","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4420","12.365580","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4421","12.365581","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4422","12.365581","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4423","12.365581","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4424","12.365582","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4425","12.365582","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4426","12.365583","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4427","12.365583","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4428","12.365583","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4429","12.365584","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4430","12.365584","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4431","12.365640","0.000056","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4367478 Win=1016064 Len=0"
"4432","12.365780","0.000140","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4433","12.365780","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4434","12.365781","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4435","12.365781","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4436","12.365781","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4437","12.365782","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4438","12.365782","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4439","12.365782","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4440","12.365783","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4441","12.365783","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4442","12.365783","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4443","12.365784","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4444","12.365816","0.000032","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4384998 Win=1016064 Len=0"
"4445","12.365969","0.000153","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4446","12.365969","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4447","12.365970","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4448","12.365970","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4449","12.365970","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4450","12.365971","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4451","12.365971","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4452","12.365971","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4453","12.365972","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4454","12.365972","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4455","12.365972","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4456","12.365973","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4457","12.366003","0.000030","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4402518 Win=1016064 Len=0"
"4458","12.366104","0.000101","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4459","12.366105","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4460","12.366105","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4461","12.366105","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4462","12.366106","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4463","12.366106","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4464","12.366126","0.000020","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4411278 Win=1016064 Len=0"
"4465","12.366209","0.000083","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4466","12.366209","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4467","12.366210","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4468","12.366210","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4469","12.366211","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4470","12.366211","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4471","12.366231","0.000020","192.168.1.10","10.0.0.2","TCP","54","0","128","49844  >  445 [ACK] Seq=9685 Ack=4420038 Win=1016064 Len=0"
"4472","12.366303","0.000072","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4473","12.366303","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4474","12.366303","0.000000","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
"4475","12.366304","0.000001","10.0.0.2","192.168.1.10","NBSS","1514","1460","127","NBSS Continuation Message"
