"No.","Time","Delta","Source","Destination","Protocol","Length","TCP Segment Len","Time to Live","Identification","Info"
"41","0.000598","0.000001","206.126.36.223","10.0.64.129","TCP","64","0","117","0x0100 (256)","19480  >  80 [SYN] Seq=0 Win=16384 Len=0"
"42","0.000600","0.000001","142.142.28.137","10.0.64.129","TCP","64","0","113","0x0100 (256)","16562  >  80 [SYN] Seq=0 Win=16384 Len=0"
"43","0.000707","0.000106","212.252.19.97","10.0.64.129","TCP","64","0","123","0x0100 (256)","18128  >  80 [SYN] Seq=0 Win=16384 Len=0"
"44","0.000709","0.000002","219.99.39.190","10.0.64.129","TCP","64","0","110","0x0100 (256)","21188  >  80 [SYN] Seq=0 Win=16384 Len=0"
"45","0.000711","0.000001","212.252.19.5","10.0.64.129","TCP","64","0","123","0x0100 (256)","18036  >  80 [SYN] Seq=0 Win=16384 Len=0"
"46","0.000713","0.000001","219.99.39.195","10.0.64.129","TCP","64","0","110","0x0100 (256)","21193  >  80 [SYN] Seq=0 Win=16384 Len=0"
"47","0.000716","0.000002","95.173.168.10","10.0.63.134","TCP","64","0","243","0x4a90 (19088)","2941  >  1986 [SYN] Seq=0 Win=4096 Len=0"
"48","0.000717","0.000001","219.99.39.201","10.0.64.129","TCP","64","0","110","0x0100 (256)","21199  >  80 [SYN] Seq=0 Win=16384 Len=0"
"49","0.000765","0.000047","95.173.168.10","10.0.63.133","TCP","64","0","243","0x4a8f (19087)","2940  >  1986 [SYN] Seq=0 Win=4096 Len=0"
"50","0.000768","0.000002","219.99.39.212","10.0.64.129","TCP","64","0","110","0x0100 (256)","21210  >  80 [SYN] Seq=0 Win=16384 Len=0"
"51","0.000825","0.000057","10.0.63.131","95.173.168.10","TCP","68","0","255","0xb128 (45352)","1986  >  2938 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0[Packet size limited during capture]"
"52","0.000839","0.000013","Cisco_46:1b:71","Broadcast","ARP","68","","","","Who has 10.0.63.135? Tell 10.0.63.130[Packet size limited during capture]"
"53","0.000871","0.000032","212.212.4.241","10.0.64.129","TCP","64","0","123","0x0100 (256)","11792  >  80 [SYN] Seq=0 Win=16384 Len=0"
"54","0.000875","0.000003","219.99.39.224","10.0.64.129","TCP","64","0","110","0x0100 (256)","21222  >  80 [SYN] Seq=0 Win=16384 Len=0"
"55","0.000877","0.000001","200.80.27.252","10.0.64.129","TCP","64","0","111","0x0100 (256)","19359  >  80 [SYN] Seq=0 Win=16384 Len=0"
"56","0.000879","0.000001","147.227.17.74","10.0.64.129","TCP","64","0","118","0x0100 (256)","17768  >  80 [SYN] Seq=0 Win=16384 Len=0"
"57","0.000881","0.000001","200.80.27.160","10.0.64.129","TCP","64","0","111","0x0100 (256)","19267  >  80 [SYN] Seq=0 Win=16384 Len=0"
"58","0.000882","0.000001","206.126.37.35","10.0.64.129","TCP","64","0","117","0x0100 (256)","19548  >  80 [SYN] Seq=0 Win=16384 Len=0"
"59","0.000884","0.000001","212.252.18.234","10.0.64.129","TCP","64","0","123","0x0100 (256)","18009  >  80 [SYN] Seq=0 Win=16384 Len=0"
"60","0.000886","0.000001","142.142.28.139","10.0.64.129","TCP","64","0","113","0x0100 (256)","16564  >  80 [SYN] Seq=0 Win=16384 Len=0"
"61","0.001006","0.000120","212.252.19.112","10.0.64.129","TCP","64","0","123","0x0100 (256)","18143  >  80 [SYN] Seq=0 Win=16384 Len=0"
"62","0.001008","0.000002","206.126.36.226","10.0.64.129","TCP","64","0","117","0x0100 (256)","19483  >  80 [SYN] Seq=0 Win=16384 Len=0"
"63","0.001010","0.000001","194.74.28.139","10.0.64.129","TCP","64","0","105","0x0100 (256)","19496  >  80 [SYN] Seq=0 Win=16384 Len=0"
"64","0.001012","0.000001","212.212.4.199","10.0.64.129","TCP","64","0","123","0x0100 (256)","11750  >  80 [SYN] Seq=0 Win=16384 Len=0"
"65","0.001013","0.000001","219.99.40.1","10.0.64.129","TCP","64","0","110","0x0100 (256)","21255  >  80 [SYN] Seq=0 Win=16384 Len=0"
"66","0.001015","0.000001","123.83.1.188","10.0.64.129","TCP","64","0","114","0x0100 (256)","15442  >  80 [SYN] Seq=0 Win=16384 Len=0"
"67","0.001017","0.000001","212.252.18.236","10.0.64.129","TCP","64","0","123","0x0100 (256)","18011  >  80 [SYN] Seq=0 Win=16384 Len=0"
"68","0.001018","0.000001","219.99.39.196","10.0.64.129","TCP","64","0","110","0x0100 (256)","21194  >  80 [SYN] Seq=0 Win=16384 Len=0"
"69","0.001020","0.000001","194.74.28.148","10.0.64.129","TCP","64","0","105","0x0100 (256)","19505  >  80 [SYN] Seq=0 Win=16384 Len=0"
"70","0.001022","0.000001","219.99.39.162","10.0.64.129","TCP","64","0","110","0x0100 (256)","21160  >  80 [SYN] Seq=0 Win=16384 Len=0"
"71","0.001024","0.000001","147.227.17.105","10.0.64.129","TCP","64","0","118","0x0100 (256)","17799  >  80 [SYN] Seq=0 Win=16384 Len=0"
"72","0.001026","0.000001","131.171.39.247","10.0.64.129","TCP","64","0","122","0x0100 (256)","20917  >  80 [SYN] Seq=0 Win=16384 Len=0"
"73","0.001222","0.000196","194.74.28.94","10.0.64.129","TCP","64","0","105","0x0100 (256)","19451  >  80 [SYN] Seq=0 Win=16384 Len=0"
"74","0.001224","0.000001","219.99.39.213","10.0.64.129","TCP","64","0","110","0x0100 (256)","21211  >  80 [SYN] Seq=0 Win=16384 Len=0"
"75","0.001226","0.000001","212.252.19.68","10.0.64.129","TCP","64","0","123","0x0100 (256)","18099  >  80 [SYN] Seq=0 Win=16384 Len=0"
"76","0.001227","0.000001","219.99.39.193","10.0.64.129","TCP","64","0","110","0x0100 (256)","21191  >  80 [SYN] Seq=0 Win=16384 Len=0"
